國文,英文,數學,社會,自然
11,13,15,6,11
8,14,12,12,11
11,15,7,8,10
8,8,14,8,10
7,10,12,10,12
13,6,7,8,8
14,12,10,14,9
11,12,12,9,10
10,15,8,12,11
15,11,14,13,10
10,6,12,7,7
11,14,12,6,12
15,9,10,9,6
6,7,8,7,10
14,12,10,15,8
9,8,15,11,7
7,8,12,13,8
14,11,7,11,11
14,14,10,6,14
7,10,12,13,6
9,15,6,14,11
13,8,7,7,6
13,13,14,10,14
11,7,10,10,15
7,10,15,8,13
14,12,8,12,14
15,13,11,14,11
7,13,9,13,11
8,10,11,12,13
12,13,11,8,13
13,10,14,7,8
14,8,9,8,11
6,15,14,11,6
12,14,11,14,10
9,6,6,14,11
9,11,6,12,12
10,13,7,12,6
11,14,6,12,6
13,7,12,9,7
15,11,12,8,13
6,12,8,13,13
12,12,8,13,8
9,7,8,12,10
10,9,12,13,9
15,11,6,14,12
13,15,13,11,12
6,7,8,8,15
11,9,8,13,13
12,6,8,8,6
12,10,11,12,15
8,6,15,6,9
13,8,9,10,11
15,15,11,15,9
14,9,13,13,10
12,7,6,7,11
8,13,7,8,14
14,12,10,12,13
6,6,6,14,10
6,15,15,9,6
9,8,14,7,9
9,14,14,14,12
10,9,11,14,7
11,10,12,15,8
8,15,10,14,14
6,14,9,11,12
13,8,12,7,10
7,6,11,10,6
14,10,12,9,11
6,8,12,13,6
13,15,9,6,11
7,11,11,11,7
6,14,11,15,12
7,8,10,14,15
8,11,14,13,15
11,8,11,11,14
15,6,8,13,13
13,6,9,8,15
10,11,13,9,9
6,11,9,13,10
11,12,8,15,10
9,7,13,11,8
13,12,10,11,12
8,15,13,13,11
10,8,13,10,14
11,10,11,6,6
10,6,8,15,8
13,14,12,15,12
12,14,6,12,9
15,9,10,15,8
6,9,12,13,14
14,9,6,14,14
6,14,13,7,14
9,15,11,6,11
12,13,6,8,7
13,13,9,7,15
14,14,13,7,13
9,7,13,14,12
11,10,14,14,6
13,6,9,7,15
15,13,6,8,7
